adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/A21CdNF0nsnTPPreSkTsjmGmHQU.jpg,"[27, 9648, 53]",11015,en,The Relic,A homicide detective teams up with an evolutionary biologist to hunt a giant creature that is killing people in a Chicago museum.,13.124,/3MpMbZTrXp6ccrir16nV7YTJ4vx.jpg,1997-01-10,The Relic,False,5.9,386
False,/3a9xnk4r07W2FTgZV3kv1vjkG6L.jpg,"[18, 10749]",12723,en,Inventing the Abbotts,"In the 1950s, brothers Jacey and Doug Holt, who come from the poorer side of their sleepy Midwestern town, vie for the affections of the wealthy, lovely Abbott sisters. Lady-killer Jacey alternates between Eleanor and Alice, wanting simply to break the hearts of rich young women. But sensitive Doug has a real romance with Pamela, which Jacey and the Abbott patriarch, Lloyd, both frown upon.",12.928,/ysfD96fF56BEzpktyDWChC8Epgs.jpg,1997-04-04,Inventing the Abbotts,False,6.4,168
False,/zQzFrl75ampXfdFJaN6CHOJ4PmL.jpg,"[12, 14, 28, 35, 10751]",9449,en,The Borrowers,"The four-inch-tall Clock family secretly share a house with the normal-sized Lender family, ""borrowing"" such items as thread, safety pins, batteries and scraps of food. However, their peaceful co-existence is disturbed when evil lawyer Ocious P. Potter steals the will granting title to the house, which he plans to demolish in order to build apartments. The Lenders are forced to move, and the Clocks face the risk of being exposed to the normal-sized world.",12.874,/5eYYSd7GkOr7npjio7ce21UU8Um.jpg,1997-12-05,The Borrowers,False,6,384
False,/3cdfnihGSrMiQWzmVPaEs3p2Mp1.jpg,"[53, 28, 10749, 878, 12]",10003,en,The Saint,"Simon Templar (The Saint), is a thief for hire, whose latest job to steal the secret process for cold fusion puts him at odds with a traitor bent on toppling the Russian government, as well as the woman who holds its secret.",12.795,/dS1VfyHsDjlmtuhMPFvtAqKcN8M.jpg,1997-04-03,The Saint,False,6.1,885
False,/jACcAsj1fAZQsDBvnU6xjBUDe9y.jpg,"[14, 18, 35, 878]",36807,en,The 6th Man,"Antoine and Kenny Tyler are NCAA college basketball players, and Antoine is the star. Suddenly Antoine dies of heart attack and Kenny has to fill his shoes as leader of team. Some time later, Antoine returns as a ghost and helps Kenny in game and in life, but Kenny changes in the process and doesn't quite like it.",12.526,/c08PAB0kWE38zrOGl376D9qqdEc.jpg,1997-03-28,The Sixth Man,False,6.1,130
False,/74B0al9BnzcTwmPmsid8mzKsoDi.jpg,[35],11419,en,Vegas Vacation,"The Griswold family hits the road again for a typically ill-fated vacation, this time to the glitzy mecca of slots and showgirls—Las Vegas.",12.516,/wuLXuCJUWsFu3GSD5SArrOSd3Kq.jpg,1997-02-13,Vegas Vacation,False,6.1,478
False,/mrYJ0ijgaxjHKAs0ybNYxyfP8l5.jpg,"[35, 10751]",9820,en,The Parent Trap,"Hallie Parker and Annie James are identical twins separated at a young age because of their parents' divorce. Unknowingly to their parents, the girls are sent to the same summer camp where they meet, discover the truth about themselves, and then plot with each other to switch places.",121.191,/a3XOGrrAjl1wwiumtACWBufg6AL.jpg,1998-07-28,The Parent Trap,False,7.1,3233
False,/rFxWhQB3JmmwCU5kcQQFrnpzGtF.jpg,"[16, 10751, 12]",10674,en,Mulan,"A tomboyish girl disguises herself as a young man so she can fight with the Imperial Chinese Army against the invading Huns. With help from wise-cracking dragon Mushu, Mulan just might save her country -- and win the heart of handsome Captain Li Shang.",112.864,/5TYgKxYhnhRNNwqnRAKHkgfqi2G.jpg,1998-06-18,Mulan,False,7.9,7953
False,/u2HrA8BMvvHURz5mVOIe9EM1zGx.jpg,"[12, 16, 35, 10751]",9487,en,A Bug's Life,"On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",92.877,/hFamOus53922agTlKxhcL7ngJ9h.jpg,1998-11-25,A Bug's Life,False,7,7583
False,/vyOFlV1afDHb9MMwJVyON4qXbvC.jpg,"[10751, 12, 16]",9732,en,The Lion King II: Simba's Pride,"The circle of life continues for Simba, now fully grown and in his rightful place as the king of Pride Rock. Simba and Nala have given birth to a daughter, Kiara who's as rebellious as her father was. But Kiara drives her parents to distraction when she catches the eye of Kovu, the son of the evil lioness, Zira. Will Kovu steal Kiara's heart?",91.209,/sWR1x6UCMCGN9xEf8RGhPS934X0.jpg,1998-10-24,The Lion King II: Simba's Pride,False,7,3721
