,ecole,longitude,latitude,postalcode
80,SUPAERO (ISAE) Toulouse,1.474008,43.5655361,31400
81,ENSTA ParisTech,2.2180501,48.7107339,91120
82,TELECOM ParisTech cursus Paris,2.3464188,48.8262943,75013
83,TELECOM ParisTech cursus Sophia,2.2004477,48.7128764,91120
84,TELECOM BRETAGNE,2.2003541,48.712841,91120
85,Concours Commun Mines Ponts TSI,,,
86,TELECOM SudParis-cursus Evry,2.4433504,48.6249477,91000
87,TELECOM St Etienne,4.387829099999999,45.4523598,42000
88,ENSP Strasbourg-TIC et Santé,7.7377182,48.5254976,67400
89,ENSSAT Lannion,-3.4624262,48.729673,22305
90,ESIAL Nancy,6.155318,48.6691262,54602
91,Mines St Etienne ISMIN Gardanne,5.4717363,43.4525982,13120
92,Arts et Métiers ParisTech,2.3582236,48.8330427,75013
93,ENSEA Cergy,2.0722879,49.0392814,95000
94,ESIEE Amiens,2.2919749,49.8995592,80080
95,ESIEE Paris,2.5836143,48.8398086,93160
96,ARTS ET MÉTIERS ParisTech,2.3582236,48.8330427,75013
97,ENSGSI Nancy,6.1936569,48.6949818,54000
98,ENSMM Besançon,5.9936082,47.2512183,25000
99,ENSI Bourges STI,2.398782,47.081012,18000
100,ENSI Bourges MRI,2.398782,47.081012,18000
101,ENSEIRB-MATMECA Bordeaux Electronique,-0.6051667,44.80663759999999,33400
102,ENSEIRB-MATMECA Bordeaux Informatique,-0.6051667,44.80663759999999,33400
103,ENSEIRB-MATMECA Bordeaux Télecom.,-0.6051667,44.80663759999999,33400
104,ENSTA Bretagne (ex ENSIETA) Civil,-4.4720707,48.41908,29200
105,ENSICAEN Electronique et Physique Appliquée,-0.367627,49.214099,14000
106,ISIMA Clermont-Ferrand,3.1104272,45.7590113,63178
107,Grenoble INP-Pagora,5.7757511,45.1960652,38402
108,Grenoble INP-ENSE3,5.7031278,45.2029611,38031
109,CPE LYON Electronique,4.8697515,45.7841601,69100
110,ENSEM Nancy,6.1473745,48.6518424,54500
111,SUPMECA Paris,2.3325672,48.9195721,93400
112,ENSMA Poitiers,0.3613693,46.66132520000001,86360
113,ENSI Poitiers Energie,0.3832459,46.5688039,86022
114,ENSP Strasbourg,7.7377182,48.5254976,67400
115,SUPMECA Toulon,2.3325672,48.9195721,93400
116,ENSEEIHT Toulouse Electronique,1.455808,43.6021194,31000
117,ENSEEIHT Toulouse Génie Electrique,1.455808,43.6021194,31000
118,ENSICA (ISAE) Toulouse,1.4664576,43.6146488,31500
119,ENSIAME Valenciennes Informatique et Management des systèmes,3.5147174,50.3248476,59300
120,ENSIAME Valenciennes Méca Energ.,3.5147174,50.3248476,59300
121,ENSIAME Valenciennes Mécatronique,3.5147174,50.3248476,59300
122,Concours Commun Polytechnique TSI,,,
123,3IL Limoges,1.2722802,45.8187995,87000
124,EIL Côte d'Opale-Longuenesse (Génie Industriel),2.2604769,50.7344417,62219
