Modele,Marque,Energie,Consommation,Rejets CO2,Rejets CO2 Classe
SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg long Toit surélevé,MERCEDES,GO,12.7,333.0,G
SPRINTER Combi 319 CDI (190ch) 4x2 PTAC 3500 kg normal Toit surélevé,MERCEDES,GO,12.7,333.0,G
HURACAN EVO Spyder RWD,LAMBORGHINI,ES,13.9,335.0,G
HURACAN EVO Spyder,LAMBORGHINI,ES,14.2,338.0,G
SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit plat,MERCEDES,GO,13.1,344.0,G
SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit surélevé,MERCEDES,GO,13.1,344.0,G
Huracan Spyder 2WD,LAMBORGHINI,ES,13.8,345.0,G
ROVER DEFENDER 90 P525,LAND,ES,14.9,336.5,G
ROVER DEFENDER 110 P525,LAND,ES,14.9,336.5,G
SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit plat,MERCEDES,GO,13.2,347.0,G
SPRINTER Combi 316 CDI (163ch) 4x4 PTAC 3500 kg normal Toit surélevé,MERCEDES,GO,13.2,347.0,G
Huracan Spyder 4WD,LAMBORGHINI,ES,14.0,351.0,G
G 500,MERCEDES,ES,14.95,340.5,G
Huracan Spyder Perform.,LAMBORGHINI,ES,14.2,352.0,G
Huracan Performante,LAMBORGHINI,ES,14.3,357.0,G
ROYCE GHOST,ROLLS,ES,15.5,353.0,G
ROYCE PHANTOM,ROLLS,ES,15.45,351.0,G
ROYCE PHANTOM,ROLLS,ES,15.5,353.5,G
LEVANTE TROFEO,MASERATI,ES,15.950000000000001,360.0,G
LEVANTE GTS,MASERATI,ES,15.950000000000001,360.0,G
SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit plat,MERCEDES,GO,13.8,363.0,G
SPRINTER Combi 319 CDI (190ch) 4x4 PTAC 3500 kg normal Toit surélevé,MERCEDES,GO,13.8,363.0,G
ROYCE WRAITH,ROLLS,ES,15.85,360.0,G
MULSANNE EXTENDED WHEELBASE,BENTLEY,ES,16.2,365.0,G
MULSANNE,BENTLEY,ES,16.2,365.0,G
MULSANNE SPEED,BENTLEY,ES,16.2,365.0,G
Huracan Coupe 4WD,LAMBORGHINI,ES,14.6,365.0,G
812Superfast,FERRARI,ES,16.1,366.0,G
812Superfast,FERRARI,ES,16.1,366.0,G
GTC4 LUSSO,FERRARI,ES,16.1,366.0,G
MONZA SP1,FERRARI,ES,16.1,366.0,G
MONZA SP2,FERRARI,ES,16.1,366.0,G
ROYCE DAWN,ROLLS,ES,15.95,364.0,G
ROYCE WRAITH,ROLLS,ES,15.95,364.0,G
ROYCE DAWN,ROLLS,ES,16.25,369.0,G
812 GTS,FERRARI,ES,16.4,373.0,G
AMG G 63,MERCEDES,ES,16.4,373.0,G
ROYCE CULLINAN,ROLLS,ES,16.1,366.0,G
ROYCE CULLINAN,ROLLS,ES,16.35,372.5,G
ROYCE CULLINAN,ROLLS,ES,16.450000000000003,374.0,G
ROYCE CULLINAN,ROLLS,ES,16.549999999999997,376.5,G
812 Competizione,FERRARI,ES,16.9,385.0,G
Aventador Sian Coupe,LAMBORGHINI,EH,19.2,447.0,G
Aventador Sian Roadster,LAMBORGHINI,EH,18.5,447.0,G
AVENTADOR SVJ Coupe,LAMBORGHINI,ES,18.0,448.0,G
AVENTADOR SVJ Roadster,LAMBORGHINI,ES,18.0,448.0,G
AVENTADOR S Coupe,LAMBORGHINI,ES,19.2,460.0,G
AVENTADOR S Roadster,LAMBORGHINI,ES,19.2,460.0,G
KORANDO 4WD AT,SSANGYONG,ES,8.8,201.0,F
XC90 B5 AWD 5PL (235ch) Geatronic 8,VOLVO,GH,7.7,202.0,F
XC90 B5 AWD 7PL (235ch) Geatronic 8,VOLVO,GH,7.7,202.0,F
REXTON Y450 7PL AT 2WD,SSANGYONG,GO,7.949999999999999,209.5,F
REXTON Y450 7PL AT AWD,SSANGYONG,GO,7.949999999999999,209.5,F
LS 500h,LEXUS,EH,9.5,214.5,F
ROMEO STELVIO 2.0 T Essence (280ch) AT8 Q4,ALFA,ES,9.3,210.5,F
GLE 400 d 4MATIC,MERCEDES,GO,8.05,211.0,F
718 BOXSTER T,PORSCHE,ES,9.45,214.0,F
718 BOXSTER,PORSCHE,ES,9.45,214.0,F
718 CAYMAN T,PORSCHE,ES,9.45,214.0,F
718 CAYMAN,PORSCHE,ES,9.45,214.0,F
REXTON G4 7PL AT 2WD,SSANGYONG,GO,8.2,215.0,F
REXTON G4 5PL AT 2WD,SSANGYONG,GO,8.2,215.0,F
REXTON 220 e-XDi 4WD A/T,SSANGYONG,GO,8.2,215.0,F
REXTON G4 7PL AT 4WD,SSANGYONG,GO,8.2,215.0,F
REXTON G4 5PL AT 4WD,SSANGYONG,GO,8.2,215.0,F
F-TYPE COUPE P300,JAGUAR,ES,9.55,218.0,F
F-TYPE CABRIOLET P300,JAGUAR,ES,9.55,218.0,F
ROMEO STELVIO 2.0 T Essence (280ch) AT8 Q4,ALFA,ES,9.4,213.5,F
ROMEO STELVIO 2.0 T Essence (200ch) AT8 Q4,ALFA,ES,9.350000000000001,212.0,F
ROMEO STELVIO 2.0 T Essence (200ch) AT8 Q4,ALFA,ES,9.4,213.5,F
ROMEO STELVIO 2.0 T Essence (280ch) AT8 Q4,ALFA,ES,9.350000000000001,212.0,F
GHIBLI DIESEL,MASERATI,GO,8.2,214.0,F
GHIBLI DIESEL,MASERATI,GO,8.2,214.0,F
QUATTROPORTE DIESEL,MASERATI,GO,8.2,214.0,F
QUATTROPORTE DIESEL,MASERATI,GO,8.2,214.0,F
GLE 450 4MATIC,MERCEDES,EH,9.350000000000001,212.0,F
X7 xDrive40d,BMW,GH,8.1,211.5,F
X7 xDrive40d,BMW,GH,8.1,211.5,F
X7 xDrive40d,BMW,GH,8.1,211.5,F
X5 xDrive40d,BMW,GH,8.1,212.0,F
X6 xDrive40d,BMW,GH,8.1,212.0,F
M3 Competition,BMW,ES,9.75,221.5,F
M4 Competition Coupé,BMW,ES,9.75,221.5,F
AMG CLS 53 4MATIC+,MERCEDES,EH,9.45,214.0,F
AMG E 53 4MATIC+,MERCEDES,EH,9.45,214.0,F
X5 xDrive40i,BMW,EH,9.350000000000001,213.0,F
X6 xDrive40i,BMW,EH,9.350000000000001,213.0,F
718 BOXSTER S,PORSCHE,ES,9.7,219.5,F
718 CAYMAN S,PORSCHE,ES,9.7,219.5,F
X5 xDrive40d,BMW,GH,8.25,216.5,F
X6 xDrive40d,BMW,GH,8.25,216.5,F
E-PACE P300 Hybride MHEV,JAGUAR,EH,9.5,214.5,F
TRANSPORTER 6.1 vitré L1 2.0 TDI (204ch) DSG7 4MOTION,VOLKSWAGEN,GO,8.2,215.5,F
TRANSPORTER 6.1 vitré L2 CARAVELLE Confortline Long / Carat Long 2.0 TDI (204ch) DSG7 4MOTION,VOLKSWAGEN,GO,8.2,215.5,F
TRANSPORTER 6.1 vitré L1 CARAVELLE Confortline Court / Carat Court 2.0 TDI (204ch) DSG7 4MOTION,VOLKSWAGEN,GO,8.2,215.5,F
ROMEO STELVIO 2.0 T Essence (280ch) AT8 Q4,ALFA,ES,9.6,217.5,F
ROMEO STELVIO 2.0 T Essence (200ch) AT8 Q4,ALFA,ES,9.6,217.5,F
AMG GT 43 4MATIC+ Coupé 4P,MERCEDES,EH,9.6,218.0,F
AMG GT 53 4MATIC+ Coupé 4P,MERCEDES,EH,9.6,218.0,F
