date,ID,lat,long,value
2012-01,ASN00041091,-26.8086,151.0806,460
2012-01,ASN00041095,-28.6617,151.9339,1212
2012-01,ASN00041096,-27.5094,151.9547,1796
2012-01,ASN00041056,-28.3344,152.2953,1092
2012-01,ASN00041540,-29.1694,151.3414,734
2012-01,ASN00041339,-27.2131,151.1856,730
2012-01,ASN00041348,-28.1667,150.6444,1558
2012-01,ASN00041504,-27.7358,151.4117,853
2012-01,ASN00041506,-28.6561,150.6653,2592
2012-01,ASN00041507,-28.6656,150.445,2050
2012-01,ASN00041508,-27.7267,150.6453,1800
2012-01,ASN00041509,-27.6783,150.3483,2448
2012-01,ASN00041510,-27.4722,151.9481,1482
2012-01,ASN00041512,-27.3825,151.9244,542
2012-01,ASN00041519,-28.5767,150.845,121
2012-01,ASN00041522,-27.1605,151.2634,448
2012-01,ASN00041525,-28.2061,152.1003,902
2012-01,ASN00041528,-27.0481,151.6314,464
2012-01,ASN00041529,-27.5425,151.9134,982
2012-01,ASN00041530,-28.2006,152.2156,620
2012-01,ASN00041531,-28.1167,152.0642,580
2012-01,ASN00041532,-28.3558,151.9967,540
2012-01,ASN00041533,-28.2292,152.2269,560
2012-01,ASN00041534,-28.2111,152.0275,540
2012-01,ASN00041535,-28.3731,152.14,650
2012-01,ASN00041536,-28.2883,152.1053,520
2012-01,ASN00041503,-28.2167,152.05,880
2012-01,ASN00041495,-28.4828,151.2831,1320
2012-01,ASN00041493,-27.4967,150.4539,1464
2012-01,ASN00041491,-28.4333,151.4667,880
2012-01,ASN00041359,-27.4034,151.7413,290
2012-01,ASN00041365,-28.6514,151.6336,858
2012-01,ASN00041369,-27.5233,151.8819,601
2012-01,ASN00041370,-28.1236,150.5431,1755
2012-01,ASN00041371,-28.4572,151.6817,696
2012-01,ASN00041388,-28.055,151.3297,594
2012-01,ASN00041391,-28.3611,151.1464,1211
2012-01,ASN00041397,-28.1422,150.1319,928
2012-01,ASN00041404,-27.9592,151.6664,640
2012-01,ASN00041344,-28.2075,151.5608,690
